County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound
Kern,Bakersfield,Full-Dual,4690.11,4916.09,5161.61
Kern,Bakersfield,Non-Dual,6503.85,6823.95,7171.78
Kern,Bakersfield,Non-Dual,6503.85,6823.95,7171.78
Kings,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Kings,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Kings,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Kings,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Los Angeles,AltaMed Senior Care,Full-Dual,4197.13,4397.54,4615.28
Los Angeles,AltaMed Senior Care,Full-Dual,4197.13,4397.54,4615.28
Los Angeles,Brandman Centers For Senior Care,Full-Dual,4397.93,4612.08,4844.77
Los Angeles,Brandman Centers For Senior Care,Full-Dual,4397.93,4612.08,4844.77
Los Angeles,Pacific PACE,Full-Dual,4882.9,5119.56,5376.69
Los Angeles,LA Coast,Full-Dual,4882.9,5119.56,5376.69
Los Angeles,Pacific PACE,Full-Dual,4882.9,5119.56,5376.69
Los Angeles,LA Coast,Full-Dual,4882.9,5119.56,5376.69
Los Angeles,ConcertoHealth PACE,Full-Dual,5064.81,5315.17,5587.29
Los Angeles,AltaMed Senior Care,Non-Dual,6339.12,6649.39,6986.54
Los Angeles,AltaMed Senior Care,Non-Dual,6339.12,6649.39,6986.54
Los Angeles,Brandman Centers For Senior Care,Non-Dual,7049.46,7401.18,7783.42
Los Angeles,Brandman Centers For Senior Care,Non-Dual,7049.46,7401.18,7783.42
Los Angeles,Pacific PACE,Non-Dual,8233.15,8642.16,9086.64
Los Angeles,LA Coast,Non-Dual,8233.15,8642.16,9086.64
Los Angeles,Pacific PACE,Non-Dual,8233.15,8642.16,9086.64
Los Angeles,LA Coast,Non-Dual,8233.15,8642.16,9086.64
Los Angeles,ConcertoHealth PACE,Non-Dual,8545.47,8979.52,9451.38
Madera,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Madera,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Madera,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Madera,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Orange,CalOptima,Full-Dual,3991.62,4189.19,4403.89
Orange,CalOptima,Full-Dual,3991.62,4189.19,4403.89
Orange,AltaMed Senior Care,Full-Dual,4221.85,4426.99,4649.88
Orange,AltaMed Senior Care,Full-Dual,4221.85,4426.99,4649.88
Orange,Innovative Integrated Health,Full-Dual,4390.86,4606.32,4840.44
Orange,Innovative Integrated Health,Full-Dual,4390.86,4606.32,4840.44
Orange,AltaMed Senior Care,Non-Dual,7058.63,7409.78,7791.38
Orange,AltaMed Senior Care,Non-Dual,7058.63,7409.78,7791.38
Orange,CalOptima,Non-Dual,7373.11,7745.13,8149.45
Orange,CalOptima,Non-Dual,7373.11,7745.13,8149.45
Orange,Innovative Integrated Health,Non-Dual,7540.07,7918.41,8329.59
Orange,Innovative Integrated Health,Non-Dual,7540.07,7918.41,8329.59
Placer,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Placer,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Placer,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Placer,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Riverside,InnovAge,Full-Dual,4099.32,4307.54,4533.83
Riverside,InnovAge,Full-Dual,4099.32,4307.54,4533.83
Riverside,Neighborhood Healthcare,Full-Dual,4113.29,4319.92,4544.49
Riverside,Neighborhood Healthcare,Full-Dual,4113.29,4319.92,4544.49
Riverside,Neighborhood Healthcare,Non-Dual,7291.93,7661.84,8063.87
Riverside,Neighborhood Healthcare,Non-Dual,7291.93,7661.84,8063.87
Riverside,InnovAge,Non-Dual,7504.08,7886.88,8302.94
Riverside,InnovAge,Non-Dual,7504.08,7886.88,8302.94
Sacramento,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Sacramento,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Sacramento,Sutter Senior Care,Full-Dual,5699.95,5975.57,6275.04
Sacramento,Sutter Senior Care,Full-Dual,5699.95,5975.57,6275.04
Sacramento,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Sacramento,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Sacramento,Sutter Senior Care,Non-Dual,8010.56,8406.44,8836.63
Sacramento,Sutter Senior Care,Non-Dual,8010.56,8406.44,8836.63
San Bernardino,InnovAge,Full-Dual,4099.32,4307.54,4533.83
San Bernardino,InnovAge,Full-Dual,4099.32,4307.54,4533.83
San Bernardino,Neighborhood Healthcare,Full-Dual,4113.29,4319.92,4544.49
San Bernardino,Neighborhood Healthcare,Full-Dual,4113.29,4319.92,4544.49
San Bernardino,Neighborhood Healthcare,Non-Dual,7291.93,7661.84,8063.87
San Bernardino,Neighborhood Healthcare,Non-Dual,7291.93,7661.84,8063.87
San Bernardino,InnovAge,Non-Dual,7504.08,7886.88,8302.94
San Bernardino,InnovAge,Non-Dual,7504.08,7886.88,8302.94
San Diego,St. Paul's PACE,Full-Dual,3620.21,3798.07,3991.34
San Diego,St. Paul's PACE,Full-Dual,3620.21,3798.07,3991.34
San Diego,San Diego PACE,Full-Dual,4185.56,4388.69,4609.4
San Diego,San Diego PACE,Full-Dual,4185.56,4388.69,4609.4
San Diego,Family Health Center,Full-Dual,4501.37,4719.82,4957.18
San Diego,Family Health Center,Full-Dual,4501.37,4719.82,4957.18
San Diego,Gary & Mary West,Full-Dual,4897.56,5135.24,5393.5
San Diego,Gary & Mary West,Full-Dual,4897.56,5135.24,5393.5
San Diego,St. Paul's PACE,Non-Dual,5704.84,5992.21,6304.54
San Diego,St. Paul's PACE,Non-Dual,5704.84,5992.21,6304.54
San Diego,San Diego PACE,Non-Dual,6678.3,7010.42,7371.34
San Diego,San Diego PACE,Non-Dual,6678.3,7010.42,7371.34
San Diego,Family Health Center,Non-Dual,7153.78,7509.56,7896.19
San Diego,Family Health Center,Non-Dual,7153.78,7509.56,7896.19
San Diego,Gary & Mary West,Non-Dual,7403.93,7772.15,8172.31
San Diego,Gary & Mary West,Non-Dual,7403.93,7772.15,8172.31
San Francisco,On Lok Lifeways,Full-Dual,8156.64,8546.29,8969.63
San Francisco,On Lok Lifeways,Full-Dual,8156.64,8546.29,8969.63
San Francisco,North East Medical Services,Full-Dual,8278.99,8674.49,9104.17
San Francisco,North East Medical Services,Full-Dual,8278.99,8674.49,9104.17
San Francisco,On Lok Lifeways,Non-Dual,9001.79,9446.74,9930.25
San Francisco,On Lok Lifeways,Non-Dual,9001.79,9446.74,9930.25
San Francisco,North East Medical Services,Non-Dual,9136.77,9588.39,10079.16
San Francisco,North East Medical Services,Non-Dual,9136.77,9588.39,10079.16
San Joaquin,InnovAge,Full-Dual,5142.73,5395.26,5669.67
San Joaquin,InnovAge,Full-Dual,5142.73,5395.26,5669.67
San Joaquin,Stockton PACE,Full-Dual,5541.5,5809.24,6100.15
San Joaquin,Stockton PACE,Full-Dual,5541.5,5809.24,6100.15
San Joaquin,Central Valley,Full-Dual,5583.06,5852.81,6145.9
San Joaquin,Central Valley,Full-Dual,5583.06,5852.81,6145.9
San Joaquin,Stockton PACE,Non-Dual,7823.31,8209.58,8629.34
San Joaquin,Stockton PACE,Non-Dual,7823.31,8209.58,8629.34
San Joaquin,Central Valley,Non-Dual,7881.96,8271.13,8694.04
San Joaquin,Central Valley,Non-Dual,7881.96,8271.13,8694.04
San Joaquin,InnovAge,Non-Dual,7900.18,8295.21,8724.52
San Joaquin,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Santa Clara,On Lok Lifeways,Full-Dual,6288.97,6597.72,6933.21
Santa Clara,On Lok Lifeways,Full-Dual,6288.97,6597.72,6933.21
Santa Clara,On Lok Lifeways,Non-Dual,7907.35,8304.77,8736.67
Santa Clara,On Lok Lifeways,Non-Dual,7907.35,8304.77,8736.67
Stanislaus,Stockton PACE,Full-Dual,5541.5,5809.24,6100.15
Stanislaus,Stockton PACE,Full-Dual,5541.5,5809.24,6100.15
Stanislaus,Central Valley,Full-Dual,5583.06,5852.81,6145.9
Stanislaus,Central Valley,Full-Dual,5583.06,5852.81,6145.9
Stanislaus,Stockton PACE,Non-Dual,7823.31,8209.58,8629.34
Stanislaus,Stockton PACE,Non-Dual,7823.31,8209.58,8629.34
Stanislaus,Central Valley,Non-Dual,7881.96,8271.13,8694.04
Stanislaus,Central Valley,Non-Dual,7881.96,8271.13,8694.04
Sutter,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Sutter,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Sutter,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Sutter,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Tulare,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Tulare,Sequoia,Full-Dual,4582.85,4806.0,5048.47
Tulare,Bakersfield,Full-Dual,4690.11,4916.09,5161.61
Tulare,Bakersfield,Full-Dual,4690.11,4916.09,5161.61
Tulare,Bakersfield,Non-Dual,6503.85,6823.95,7171.78
Tulare,Bakersfield,Non-Dual,6503.85,6823.95,7171.78
Tulare,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Tulare,Sequoia,Non-Dual,7930.83,8326.55,8756.59
Yuba,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Yuba,InnovAge,Full-Dual,5142.73,5395.26,5669.67
Yuba,InnovAge,Non-Dual,7900.18,8295.21,8724.52
Yuba,InnovAge,Non-Dual,7900.18,8295.21,8724.52
