Title,Link,Description
National Suicide Prevention Lifeline,https://988lifeline.org/,"A free 24-hour hotline available if you or someone you know is in suicidal crisis or emotional distress. Press 1 for a dedicated line for veterans and their families."
Operation Samahan,https://operationsamahan.org/,"This is a community health center that provides health and mental health services to low-income Filipinos/Asians and other low-income families and individuals in the County of San Diego, with locations in National City and Mira Mesa."
San Diego American Indian Health Center,https://www.sdaihc.org/,"The Mission of San Diego American Indian Health Center is to promote excellence in health care with respect to custom and tradition. Our goal is to reduce the significant health disparities San Diego’s Urban American Indian and under-served populations by improving the excellence of care, resulting in increased life expectancy and improved quality of life."
San Diego County Behavioral Health Services,https://www.sandiegocounty.gov/hhsa/programs/bhs/,"Find resources for people experiencing behavioral health challenges and for providers. Includes hotline numbers, provider portal, and available services information."
San Diego Eldercare,http://www.eldercareresourcessandiego.com/,"This website offers a comprehensive online directory for services and programs for the elderly in San Diego County."
San Diego Psychiatric Society,https://www.sandiegopsychiatricsociety.org/,"The San Diego Psychiatric Society is a non-profit organization dedicated to promoting the highest quality of care for people with mental health challenges. This website offers a database of physicians that specialize in the diagnosis and treatment of mental, emotional and substance use disorders."
Serving Seniors,https://servingseniors.org/,"Serving Seniors provides nutrition, social and medical services, advocacy, homeless outreach, housing assistance, and intergenerational activities for seniors, ages 60 and over. It also offers skill-based activities for seniors and is always looking for volunteers to assist in leading fun activities."
Southern Indian Health Council,https://sihc.org/,"Southern Indian Health Council is a Native American organization committed to protecting and improving the physical, mental and spiritual health of our American Indian community."
Speaking of Suicide,https://speakingofsuicide.com/2013/05/29/coping-with-the-suicide-of-a-loved-one/,"This website for individuals having suicidal thoughts, their loved ones, loss survivors, and mental health professionals. It includes information on how to talk with children about the suicide, a comprehensive book list, and much more."
Office On Women's Health,https://www.womenshealth.gov/mental-health/get-help-now,"The resources on this page can help women find support, guidance, and help if you are concerned about your mental health or the mental health of someone you love." 
Substance Abuse Mental Health Services Administration,https://samhsa.gov/,"This website offers research, resources and publications related to mental health, substance use disorders, prevention, treatment and recovery."
The Loveland Foundation,https://thelovelandfoundation.org/,"Financial assistance to Black women and girls seeking therapy."
Therapy for Black Girls,https://therapyforblackgirls.com/,"An online space dedicated to encouraging the mental wellness of Black women and girls."
Union of Pan Asian Communities,https://www.upacsd.com/,"The Union of Pan Asian Communities (UPAC) is a nationally-recognized non-profit organization, offering multicultural, multilingual, comprehensive physical and mental health services to Asian, Pacific Islander and other ethnic communities."
